Año,P_real,P_sim,U_real,U_sim,E_real,E_sim,F_real,F_sim,W_real,W_sim,Segmento
2012,7175.0,7175.0,35984.28,36230.045054945054,0.1708,0.1703328838877842,0.1213275745257452,0.12132757452574522,99.18,99.18,Histórico
2013,7207.0,5498.410831756853,36049.86,36049.86076923077,0.1665,0.1665052579022456,0.09574951886662848,0.1296797185176768,99.36,102.3673681713441,Histórico
2014,7231.0,3923.13998425472,36083.27,35949.22161838162,0.1629,0.16318545511692048,0.09834874960738396,0.13770272286717442,99.44,104.06182196461415,Histórico
2015,7251.0,2423.3909319281756,36106.86,35928.1276023976,0.1601,0.16041369238413297,0.07460577916495136,0.14537550625523996,99.52,104.4842842582457,Histórico
2016,7278.0,995.866804384761,36143.0,35986.57872127872,0.152731107607225,0.15823018655620721,0.08701306846061123,0.1527133574222416,99.41,103.87211196096037,Histórico
2017,7314.0,-362.58495673019934,36213.94,36124.574975024974,0.161778081778755,0.15667515448546737,0.1175213930381206,0.15973089588318637,99.55,102.47946755553748,Histórico
2018,7394.0,-1654.9795305045327,36342.11,36342.11636363636,0.16242447605472998,0.15578881302423758,0.1085762828108255,0.16644210407740323,99.19,100.57731767856878,Histórico
2019,7564.0,-2884.7729901943285,36549.83,36639.202887112886,0.15401719724009,0.15561137902484198,0.1673701910342603,0.17260839663348615,99.27,98.45574479205942,Histórico
2020,7711.0,-4058.8751713346637,36859.44,37015.83454545455,0.149850312944385,0.1561830693396047,0.6006550051070054,0.17815407109565082,99.24,96.42027164171677,Histórico
2021,7803.0,-5180.775089705855,37293.27,37472.01133866134,0.154156432998015,0.15754410082084994,0.7883933951821026,0.18345766541904968,99.4,94.78897582988058,Histórico
2022,7871.0,-6252.751520606916,37873.68,38007.73326673327,0.164711769270795,0.15973469032090176,0.6847281147838116,0.18852974708124692,99.27,93.9000440039579,Histórico
2023,7937.0,-7276.983919493027,38623.0,38623.00032967033,0.16489422332584502,0.16279505469208436,0.5654146718776436,0.19338042297897526,99.28,94.10846684687876,Histórico
2024,8002.0,-8255.555882230718,39563.58,39317.812527472524,0.16490154712215999,0.16676541078672186,0.4756097560975616,0.19801935547454896,99.29,95.78603929932844,Histórico
2025,,-9190.460674961909,,40408.530000000006,,0.16499643604784248,,0.20245578803977626,,97.92384040284365,Proyección
2026,,-10083.380742199231,,41253.48,,0.16509132497352497,,0.20683124432483627,,99.7110120290676,Proyección
2027,,-10932.466170408064,,42098.43000000001,,0.16518621389920746,,0.21148079098197553,,101.53382659398218,Proyección
2028,,-11737.731336251385,,42943.380000000005,,0.16528110282488995,,0.2159330098448241,,103.39657223932892,Proyección
2029,,-12501.08713092421,,43788.33000000001,,0.16537599175057244,,0.22019088030493394,,105.29928722447721,Proyección
